Date,High,Low,Open,Close,Volume,Adj Close,200ma,100ma,50ma,10ma,5ma
2018-01-16,347.7300109863281,331.3299865722656,339.8999938964844,335.1600036621094,12305500.0,328.7085876464844,227.88873779296875,262.34331130981445,279.0804461669922,308.78757629394534,321.3294189453125
2018-01-17,352.2300109863281,336.4100036621094,337.7300109863281,351.010009765625,9611700.0,344.2535095214844,228.75899383544922,263.4632612609863,280.8415673828125,314.1003051757813,327.7200012207031
2018-01-18,350.8299865722656,339.1499938964844,350.70001220703125,340.1600036621094,9458600.0,333.61236572265625,229.57705474853515,264.470458984375,282.4070343017578,318.25476989746096,331.623388671875
2018-01-19,344.0,335.75,341.6700134277344,337.7300109863281,7264400.0,331.2291259765625,230.3733351135254,265.4816264343262,283.87957275390625,322.2817321777344,333.5083923339844
2018-01-22,341.3800048828125,332.0400085449219,335.2900085449219,338.0,6792900.0,331.49395751953125,231.17873489379883,266.4828581237793,285.31721740722656,325.1416046142578,333.85950927734376
2018-01-23,338.94000244140625,334.80999755859375,338.3399963378906,335.5899963378906,4537800.0,329.13031005859375,231.97092086791992,267.4281639099121,286.71851501464846,327.6366363525391,333.9438537597656
2018-01-24,338.989990234375,334.1400146484375,336.20001220703125,334.69000244140625,4205400.0,328.24761962890625,232.75157188415528,268.36493545532227,288.1306005859375,329.23133850097656,330.74267578125
2018-01-25,343.6199951171875,335.29998779296875,336.2099914550781,343.1099853515625,4747500.0,336.5055236816406,233.57971969604492,269.3920901489258,289.74413146972654,331.47234802246095,331.32130737304686
2018-01-26,345.9800109863281,341.25,344.3299865722656,343.2200012207031,5236300.0,336.61346435546875,234.4035472869873,270.41378829956057,291.3290252685547,332.9532836914062,332.39817504882814
2018-01-29,344.4800109863281,340.1000061035156,341.2300109863281,340.82000732421875,3324900.0,334.2596435546875,235.22773155212403,271.44443283081057,292.8797888183594,333.40541076660156,332.95131225585936
2018-01-30,339.9800109863281,334.1600036621094,339.1700134277344,337.7099914550781,4983100.0,331.20947265625,236.0387339782715,272.46779266357424,294.34797302246096,333.65549926757814,333.3671447753906
2018-01-31,360.9700012207031,351.6199951171875,360.5,354.3699951171875,11409600.0,347.5487976074219,236.91507301330566,273.63805953979494,296.1264666748047,333.9850280761719,337.2273803710938
2018-02-01,361.45001220703125,352.0400085449219,352.95001220703125,356.94000244140625,6067600.0,350.0693359375,237.80964447021483,274.8094367980957,297.98361633300783,335.63072509765624,339.9401428222656
2018-02-02,355.20001220703125,348.70001220703125,354.0,348.9100036621094,5486100.0,342.19390869140625,238.6621923828125,275.88440307617185,299.63677001953124,336.7272033691406,341.0562316894531
2018-02-05,350.0,317.3900146484375,342.6700134277344,328.8800048828125,10511300.0,322.5494689941406,239.4121875,276.7630224609375,300.8507440185547,335.83275451660154,338.7141967773438
