symbol,date,order_type,side,fees,quantity,average_price,Washsale,Washsale amount,
DRWIQ,2015-12-04T20:19:03Z,market,buy,0,1000,0.165,,,
SUNEQ,2015-12-04T14:41:24.604000Z,market,sell,0.02,13,3.83,,,
SUNEQ,2015-12-03T17:10:06.706000Z,market,buy,0,13,3.79,,,
SUNEQ,2015-12-02T15:48:49.813000Z,market,sell,0.08,8,3.74,,,
SUNEQ,2015-12-02T15:37:44.380000Z,market,buy,0,8,3.7,,,
NETE,2015-12-01T17:48:57Z,market,sell,0.02,100,0.3351,,,
GIGA,2015-12-01T17:44:34.056000Z,market,sell,0.02,10,2.8,,,
NETE,2015-12-01T17:40:24Z,market,buy,0,100,0.3252,,,
GIGA,2015-12-01T17:35:40.114000Z,market,buy,0,10,2.8,,,
GBSNQ,2015-12-01T15:54:00Z,market,sell,0.02,100,0.2491,,,
GIGA,2015-12-01T15:39:43.779000Z,market,sell,0.1,10,3.05,,,
GIGA,2015-12-01T15:38:38.822000Z,market,buy,0,10,2.97,,,
XOMA,2015-12-01T15:09:44.742000Z,market,sell,0.02,17,1.53,,,
XOMA,2015-12-01T14:56:47.163000Z,market,buy,0,17,1.53,,,
GBSNQ,2015-12-01T14:45:35Z,market,buy,0,100,0.2453,,,
GBSNQ,2015-12-01T14:33:58Z,market,sell,0.04,128,0.1959,,,
GBSNQ,2015-12-01T14:31:07Z,market,buy,0,128,0.215,,,
